objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
demo_001,,WAvJvAOAkDM,,Eraserheads - The Reunion Concert 2008,sgtpaminta,"August 30, 2008. ",YouTube,Music,Philippines,,,,,video,video/mp4,tagalog,,
demo_002,,kCUghV6rk,,Eraserheads - The Final Set (03.07.09),Aj Formentera,"April 5, 2009",YoutTube,Music,Philippines,,,,,video,video/mp4,tagalog,,
